news_id,ticker,date,headline,user_sentiment_correction,user_significance_correction,source_useful,event_correlation_correction,is_duplicate,is_recap,linked_original_id,notes,timestamp
275,TM,2025-12-11,"Toyota Industries continues to rise for 4 consecutive days, US Elliott's over 5% stake revealed◇",Correct,Correct,Yes,Correct,False,True,278,,2025-12-30T19:30:52.256833
277,TM,2025-12-10,"[Analyst Forecast] Toyota Motor, FY26 March ordinary profit forecast. Up 2.2% from previous week.",Correct,Correct,Yes,Correct,False,True,283,,2025-12-30T20:01:37.806426
278,TM,2025-12-10,"Toyota, Aisin and others are high, observation of investment fund rotation into highly currency-sensitive auto-related stocks due to rapid yen depreciation◇",Correct,Correct,Yes,Correct,False,True,283,,2025-12-30T20:02:25.840714
281,TM,2025-12-05,"[Analyst Forecast] Toyota Motor Corporation, FY26/3 ordinary profit forecast. Up 0.6% from previous week.",Correct,Correct,Yes,Correct,False,True,283,,2025-12-30T20:06:16.109255
282,TM,2025-12-05,"[Analyst Rating] Toyota Motor Corporation, Strong rating continued, target price raised to 3,700 yen (Major Japanese Securities Firm)",Correct,Correct,Yes,Correct,False,True,283,,2025-12-30T20:06:45.251594
300,CHGCY,2025-12-11,"[Analyst Rating] Chugai Pharmaceutical, Rating: Strong Buy maintained, Target price raised to 11,400 yen (Major US brokerage)",Correct,Correct,Yes,Correct,True,False,,,2026-01-02T05:51:26.157654
300,CHGCY,2025-12-11,"[Analyst Rating] Chugai Pharmaceutical, Rating: Strong Buy maintained, Target price raised to 11,400 yen (Major US brokerage)",Correct,Correct,Yes,Correct,False,False,,,2026-01-02T05:51:38.602045
300,CHGCY,2025-12-11,"[Analyst Rating] Chugai Pharmaceutical, Rating: Strong Buy maintained, Target price raised to 11,400 yen (Major US brokerage)",Correct,Correct,Yes,Correct,False,True,206,,2026-01-02T05:55:30.943587
288,SZKMY,2025-12-10,"[Analyst Rating] Suzuki, Strong rating continued, target price raised to 3,000 yen (Major US Securities Firm)",Correct,Correct,Yes,Correct,True,False,,,2026-01-02T05:55:56.394688
288,SZKMY,2025-12-10,"[Analyst Rating] Suzuki, Strong rating continued, target price raised to 3,000 yen (Major US Securities Firm)",Correct,Correct,Yes,Correct,False,False,,,2026-01-02T06:05:44.969476
